id,proverb,query_narrative,first_choice,second_choice,distractor_similarity,analogy_level,correct_answer
13,"March comes in like a lion, and goes out like a lamb","At the beginning of the month, it was unusually cold, and I was wondering if the climate change had not just caught up with us. However, as the draws to an end, it is starting to feel warm. Makes me wonder how one month can have in it both extremes.","In a small village where the wind howled fiercely and snow covered the ground, a powerful orator emerged, commanding attention with their booming voice and passionate speeches. As they spoke, their words struck like lightning, igniting a flame of hope within the hearts of the villagers. But as the days grew longer and warmer, the orator's tone softened, their words mellowed, and they shared stories of peace and tranquility, leaving the villagers inspired and filled with a gentle warmth.","i stained my cedar house this last summer in advance thinking about the consequences of not doing so. If I dont, the sun fades and cracks the wood, and could let drafts in.",low,near,1
14,There's no fool like an old fool,"Harry moved into an assisted living facility.  He met Anna, who also lived in the facility.  They fell madly in love and could be seen walking the halls with their walkers holding hands and loving each other's company. This was odd for all the staff and also for their relatives and children but they couldn't do anything about it since they were just old and they could do anything they wanted to. ","Marie had been married five times. Each relationship had been better than the last, but ultimately, the relationships had all failed - not due to Marie. By the time she was 74, she had been divorced five times, had not a penny to her name and had given up on finding 'the one'. When the time came for her to move into a retirement home, she did so begrudgingly. That afternoon, when walking down a corridor, she bumped into a resident and fell instantly for him. Suddenly, everything that had led to that moment felt worth it.","In a small but lively Assisted Living Facility (ALF), a group of elderly residents sought togetherness and affection amidst their daily routines. Among them was Henry, a charming yet impulsive gentleman in his late 80s, who found himself entangled in a love affair with Anna, a free-spirited and vivacious resident. Despite the skeptical glances and whispers from their fellow residents and cohabitants, Henry and Anna would secretly redezvous in secluded corners of the ALF, cherishing stolen moments of happiness, although all people were having consensus that this is not reasonable. ",high,near,2
15,Let sleeping dogs lie,"She was still a bit upset at her friend over something that had happened weeks ago. She finally felt that she could leave it in the past, but she decided to bring it up with her friend anyway. The introduction of the topic caused a big argument that had the two giving each other the silent treatment for days.","I saw my neighbor's husband leaving a restaurant and getting into a car with another woman.  They looked very friendly together, but it might have all been innocent.  At first I was going to tell my neighbor what I saw.  However, I do not want to cause a problem in their marriage so I am not going to tell her.",Jose was born in very poor family and Mario in a rich family in the area and they were friends and grew up together. There was a big concert or shows in the area for a popular singers and the two of them are interested to watch. Mario being rich he can able to watch the concert because he has the money to pay for the concert whereas Jose being poor he can't watch the concert because he doesn't have the money to pay for the concert or shows.,low,far,1
16,A house divided against itself cannot stand,Many countries refused to believe the earth was getting warmer.  They didn't want to dampen their industrial output by reducing greenhouse gas emissions.  But the sea levels kept rising year after year due to melting polar ice caps.  Finally all countries signed an agreement all try to reduce their greenhouse gas emissions to reduce the global warming.,The north wind was just too cold.  Spring officially starts in just 19 days but the homeless crowdsourced micro worker was sure he would not survive until then.  One by one the days passed mind-numbingly slowly.  He kept busy doing the micro work that paid a few cents at a time.  Then one day he realized it had been warm ever since the first day of spring.  People were walking around in t-shirts again.,"Once upon a time, the earth was peaceful and its sea levels remained stable. However, as time passed, the relentless human activities caused an imbalance in nature. The rising sea levels wreaked havoc on coastal communities, dividing them against the very earth that sustained them. The once united human race now faced the consequences of their division and inability to stand together in the face of nature's wrath.",low,near,2
17,Live for today for tomorrow never comes,Bob procrastinated about everything.  He missed several deadlines because he would start late on projects and run out of time to complete them.  His Boss told Bob he would be fired if he kept missing deadlines and Bob learned to stop procrastinating.,"Jim was working on a new project for his job. Before he even started, he mapped out his entire plan of how he was going to complete things. Everything was going very smoothly and he was right on track to complete it well and on time. Until, a colleague recommended a different approach. The colleague was so compelling that Jim completely switched his plan. Everything immediately was thrown off by this new approach. The deadline hit, and he work wasn't done yet. When he finally finished, it was poor.","Zoe's life was sterile and sad. She worked, she slept, she saved and she did little else. Certainly she did not recreate, or date, or celebrate. She told herself that she would, once she had acquired her nest egg. Then, she would sing and dance and find a man to marry. Then she contracted cancer and died. At her funeral, her friends sang and danced and wept for her. A handsome man said he had wanted to date her, but she always was too busy.",high,far,2
18,Home is where the heart is,My new boss told me she and her family had traveled all over the world while she worked as an administrator. She had a close relationship with her children. I asked her where her daughters considered home and she said their home was wherever she was.,She had a very hard life. Her mother was a drug addict and she spent her entire childhood being the adult. She ended up homeless at the age of 14. But she was determined to make something of herself. One day she found an amazing organization that helped her get off the streets. She finished her GED with honors. After lots of hard work she eventually became CEO of a prestigious organization. It goes to show every dog has his day.,"In the world of global administration, a fresh leader set out on a mission to manage diverse teams across continents. As an administrator, their goal was to go to different places and foster effective communication between supervisor and subordinates. However, amidst the hectic globetrotting, he realized that no matter where he was, his heart longed for the comfort and connection of home with his family although it wasn't as luxury as the hotels he used to go to.",high,near,2
19,Tell the truth and shame the Devil,"Amy set her soda and a dollar on the counter while she talked to her friend Beth, who was flirting with the cashier. The cashier gave Amy back change from a ten dollar bill and while Beth told her to take it Amy just couldn't. She took the change that was hers and left the rest on the counter.","In a small village nestled among towering mountains, a cunning merchant arrived with a proposal. He promised the villagers great wealth and prosperity if they would allow him to exploit their land for its hidden treasures. However, one wise elder opposed his proposition and dared to speak the truth about the merchant's ulterior motives. The villagers rallied behind the elder, realizing that the truth had the power to expose the merchant's deceit and protect their beloved village from disaster.",A dog tried to steal an apple from the counter. The boy noticed and told his father. The father punished the boy for being a snitch and then beat the dog as well. The boy was resentful and beat the dog the next time it tried to take food from the counter. The dog stayed away from the counter.,low,near,1
20,An apple a day keeps the doctor away,"A mom looked down at her sickly child and asked the doctor for help.  She is not eating very healthy, he told the mom. So, the mom gathered some fruits and made delicious treats for her child to eat.  As the child grew stronger, the mom no longer needed the help of the doctor.","In a small town located amidst towering mountains, a concerned mother embarked on a quest to seek the best physicians in order to aid her ailing child. Despite the distance and treacherous journey, the love for her unhealthy offspring fueled her determination, undeterred by the challenges that lay ahead. With unwavering hope and the strength of a parent's love, she set foot on a path that would lead her to the healing hands of the medical experts. At the end, she found out that the simplest herbs they had in their small town can make the healthiest teas and consuming it daily can help anyone a lot.","He went to the doctor shivering from fear. The doctor examined him and knew he was exaggerating as usual. I'll prescribe you a painkiller, and your temperature has risen again. Please, doctor, save my life, he said in a trembling voice. The doctor nodded and then gave him the prescription: This is just a headache, and it will go away with the painkiller. Try to rest and not think too much. When he took the painkiller, the pain didn't go away. He kept going back and forth to the doctor to save him until his body got exhausted",high,near,1
21,Tell the truth and shame the Devil,"The girl had tried to bake a cake when her parents left her home alone. She had been instructed not to use any of the appliances. The girl baked the cake for too long and caused the smoke detector to go off. When questioned if she had used the oven, the girl decided to not lie.","In a cozy residence nestled amongst the rolling hills, Mom and Dad eagerly awaited the arrival of their distant kin. Little did they know, these relatives were not who they claimed to be. As the facade unraveled, revealing the things that the mom and dad didn't know about, all of them were feeling shocked and relieved at the same time. ",After living far from close friends and family for years with no communication I noticed that most of my close friends stopped missing me. When I returned back home I felt like I was stranger. We should always frequently visit and be in touch with close friends and family to maintain same relationship else they will forget about us.,high,near,1
22,It's better to travel hopefully than to arrive,"Kelly and Kim were working on a project for school. They hated the class, and they didn't care about the project. But they noticed that as they were working on the project, they were having a lot of fun together. They were enjoying each other's company, and becoming good friends. They laughed, and joked, and had a good time. When the project was over, they still hated the class, and they still didn't care about the project. But they sure had fun doing it together.","The journey to Australia, the colony, had taken months. They had been sick, they had been scared, they had wished that they had not left their home and yet they had held onto the idea that when they reached their new country, all would be well and they would become affluent and influential. On arrival, they were crushed. The land was barren, the faces were bleak and the rain was lashing down. They wished they were back home.",The man knew that his friend was not doing well recently. The man was depressed himself and felt in no shape to console anyone else. The man decided not to pry too much into the more personal affairs of his friend and they simply continuted talking about general stuff without triggering him in any ways to open up about his personal issues.,low,far,1
23,Imitation is the sincerest form of flattery,"The dress had cost her far more than she had to spend but she had not been able to resist it. She swanned into school the next day, knowing that there would be admiring glances coming her way. The following day she got a shock though! Her best friend was there in a nearly identical dress. Initially she was furious and thought of confronting her but then she shrugged and decided that maybe it was a compliment to her good taste after all.","Milo was excited to run for student body president of his senior class.  He made several campaign posters and talked to kids around school about voting for him.  His friend Jacob helped make the posters and hoped that Milo would let him help campaign, but Milo didn't involve Jacob because he felt that Jacob would lose votes for him.  Jacob's feelings were hurt by this.  On election night Milo found that he had lost the election by one vote and would not get to be involved in student government at all.","At the prestigious Silverton High School, Mark was known for his impeccable fashion sense. He was always ahead of the trends and his buddies admired his unique style. One day, the dress buyer, Linda, approached Mark and asked where he got his fabulous outfits. Flattered by the compliment, Mark revealed his secret shopping locations and Linda began imitating his fashion choices, boosting her own self-esteem, and also making Mark proud of himself as well.",low,near,2
24,Good things come to those that wait,"John was waiting in line to buy tickets. He was waiting for more than two hours. Right before he got to the ticket window, Steve and Joe decided to cut in line to purchase their tickets. John, angry and disgruntled, went with his best judgment and decided not to cause a scene. When he got to the window, the ticket agent announced that he won a pair of free tickets.","Sue and Katie both wanted tickets to the Luke Bryan concert. They were going to go on sale at 7 o'clock AM. Sue was up and ready to go at six thirty. Katie was tired, and decided she would just get the tickets later. The minute the tickets went on sale, Sue snagged one. She was so excited already for the concert. By the time Katie got on her computer, and tried to get tickets, they were sold out.",One of my friend has been working hard since years to be best athlete and play for the country. Though he had many financial problems and other challenges but he never gave up and after a lot of waiting a day came when he was selected to be part of national team to represent in upcoming Olympics.,high,far,2
25,Youth is wasted on the young,"She spent most of her teenage years fretting over her appearance, her weight, her skin. Now, at the age of seventy and in failing health she looked back at old photos of that time and realised for the first time just how perfect she had been. This struck her as ironic.",She was on a strict diet that included plenty of fresh vegetables so she would go to the farm market every other day to purchase them.  This took up a lot of time and expense so she planted a garden in the back yard so she could grow the vegetables herself. This was a great way for her to get all the fresh vegetables for her diet and also save money for other things.,He knew he had a game the following day but he went out with his friends the friday night to celebrate his friend's birthday and came home at midnight. He barely had enough sleep and got up and went to the game workout that day before the actual game and could not perform as well as he thought. He kept doing the same thing throughout years of being and that culminated in many diseases when he got old. ,low,far,2
26,Discretion is the better part of valour,"A customer was shopping at his local convenience store when a burglar came in and robbed the place. He thought about confronting the robber but wasn't sure if he was armed. On the other hand, the cashier stepped up and confronted the robber but he was shot. the customer managed the situation with wasting some time and this way the robber was captured and the man saved his own life. ","The man had been in and out of prison. One day, he walked out of a store after not being able to find an item he was looking for. He was accused of theft and had the police called on him. The man knew his rights and faced other people just like on of them and made them understand he belonged to the community now just like all of them.","Kirk was a soldier, but a coward.  During a fierce battle, he laid down on the field.  He was not injured, and did not want to be.  He didn't care if his fellow soldier thought he was a coward, since he was making a smarter decision.",high,far,2
27,Feed a cold and starve a fever,"She had been feeling terrible for two days and was not showing any signs of improvement. She had no appetite at all but was worried she was not eating. Her husband tried to reassure her that this was entirely for the best given the circumstances. Apparently, she would recover more quickly this way","The first time he saw his wife he thought she was the most beautiful thing he had ever seen. She had red curly hair, a beguiling smile and a mischievous twinkle in her eyes. Sixty years on, holding her hand in the hospital for the last time, he did not see the grey hair, the dazed expression, the fear and confusion. To him, she was the twenty two year old he had fallen in love with, and this was all because of the first time he saw her with all the beauty that she showed to him first.","In the bustling medical center, a concerned spouse hovered anxiously over their significant other's hospital bed. The room was filled with hushed conversations and the scent of antiseptic. As the fever raged, the spouse made sure to provide nourishing meals, knowing that a well-fed body would have a better chance at fighting off the menacing cold that had taken hold.",high,near,2
28,Hindsight is always twenty-twenty,"Looking at the past decisions, I put too much oil in the fryer and burned the turkey last year, and the year previous to that and also a couple of months ago. That's also true that at those moments I didn't know what I'm doing. ","Once upon a time, a renowned talker with a charming personality captured the attention of everyone he encountered, effortlessly spinning tales of success and prosperity. His speeches were so captivating that people believed every word he uttered, hanging on his every promise. However, as time went on, it became evident that his words were nothing more than empty illusions. But they knew this at the end when the outcome was revieled. so there is no way they had known about it.","i stained my cedar house this last summer in advance thinking about the consequences of not doing so. If I dont, the sun fades and cracks the wood, and could let drafts in.",low,near,1
29,"March comes in like a lion, and goes out like a lamb","At the beginning of the month, it was unusually cold, and I was wondering if the climate change had not just caught up with us. However, as the draws to an end, it is starting to feel warm. Makes me wonder how one month can have in it both extremes.","The kids, filled with sugar and soda from all the snacks they'd eaten at the party that morning were as rowdy as tornadoes ripping through the plains. But as the day dragged on and the sugar ran out of their systems the children clamed down, and by dinner they were much quieter and more well behaved.","my whole youth I smoked a lot of pot. less and less as I got older. More and more pessimistic I became at the world. I found smoking once a week on Friday night not only gave me something to look forward to, but brought me peace.",low,far,1
30,Life's not all beer and skittles,"George had a positive attitude and appeared to be happy with his life.  He had never held a job because his parents were wealthy.  When George turned 30, his Dad said he was cutting back on giving George money and he would have to start earning a living like everyone else.","Initially I was very choosy on the kind of work I did, I spent three years out after campus with no job, I was simply begging for money from relatives. When everyone started to deny lending me money, I picked up odd jobs like selling magazines, selling food near schools etc. Surprisingly I made more money.","Once upon a time, in a small rural town, there lived a young man named Jack who had grand aspirations of establishing a prosperous career. He embarked on an arduous journey to the city, leaving behind his close-knit family in search of economic success. Jack dedicated long hours to his work, tirelessly chasing after the elusive dream of making money, only to realize that it wasn't always the case that he could enjoy life and at some point he should endure some hardship as well.",low,near,2
31,Too many cooks spoil the broth,"Bob designed a well-organized project management spreadsheet and loaded it to SharePoint for the other project managers to take a look at. Jack changed the formulas in the costing section. Rachel redesigned the charts. Tom hid several columns. Charlie reformatted cells. When Bob looked at the spreadsheet again, it was unusable.",She had been diagnosed with breast cancer but recovered. She felt surprised why she got the disease because she always leads a healthy life. She thinks that there is no point in worrying about the disease coming back. What she wants to do now is to improve her health condition and monitor her diet.  So she goes to gym every day and changes to a vegan diet. She feels more optimistic and does not worry about the disease anymore.,"Marsha was cooking dinner for the night.  She seasoned the food and left the room.  Her husband walked into the kitchen and saw the food on the stove.  He tasted it and added salt.  When Marsha walked back into the room, she remembered that she forgot to season the food, so she added salt.  The food was too salty and they had to order pizza that night.",low,far,2
32,A cat may look at a king,"On a long and winding street were a row of wealthy houses, surrounded by beautiful greenery. Jim, who was a bin man, loved when work took him down this street. He loved looking at the big rich houses and imagined what it would be like living there. Jim rarely saw the inhabitants of this road, however, one day as he was dragging a bin towards the truck, an inhabitant ran up to him and asked him politely, if he could wait. He added to the trash and then, thanking Jim, shook his hand and wished him a nice day, although they were from two completely different social statuses. ","Two workers are discussing the best way to get people to vote in the upcoming election. One election worker suggest that focus be placed on working families. The other worker disagrees and argues that all people, even the homeless have the obligation and right to vote.","Sue had always wanted to be rich. And she did whatever she could to get to that goal. She neglected her friends, and family, because all she ever did was work, all so that she would have more and more money. As she grew older, she realized that no matter how much she had, her heart was empty. Because she didn't have the love of the people that once cared about her.",low,far,1
33,Life's not all beer and skittles,While giving an interview the CEO recalled the incidents of his past hardships. The audience was amazed on how this successful businessman has fought back after enduring so much pain in the past.,"My friend always opted for the easy work and wanted to be rich and successful with good mental state and daydreaming. He believed in easy money but never succeeded. He always thought that wishing things and thinking about them deeply will bring them to you and he had faith in this idea, for anything he used to seek in his life. ","Once upon a time, there was an ambitious young woman named Lily who faced countless hardships on her journey as an entrepreneur. Although she used to have rich parents and she was living in the highest level of luxury possible. Despite the setbacks she encountered, Lily never lost sight of her goals and continued to work diligently towards them. Through resilience and relentless determination, she overcame every obstacle that came her way, ultimately achieving great success and establishing herself as a flourishing entrepreneur.",low,near,2
34,Christmas comes but once a year,"A small girl, who loved her big brother, waited by the front door for his arrival.  The brother had to go to a far-off town for work.  After a long time waiting on the porch, she sees her big brother come home, loaded with gifts for his baby sister.","Maria has never traveled out of the country in her life. While making reservations at a hotel in Paris, she selects the deluxe package.  Her friend thinks that the deluxe package is way too much to spend on hotel accommodations.  Maria tells her I never been out the country and not sure when i will again. I might as well go all out with the expensive package to be sure I enjoy it the most.",She was pissed at her parents.  She just couldn't understand it.  Why was she not allowed to go to Midnight Madness with her friends.  She was almost 15 years old.  Old enough to have a driver's permit.  Her older brother was allowed to go out with her friends.  She should be allowed to as well.  Her parents were enforcing a double standards and that just wasn't fair.,low,far,1
35,Every cloud has a silver lining,A man opened up his refrigerator to look for something to eat. He realized the fish had gone bad because it was emitting an especially malodorous smell. The man took the fish and buried it in his vegetable field to help fertilize the crops. He had learned this trick from stories about Native Americans and pilgrims.,"There once was a Wi-Fi firmware engineer who became too sick to work anymore.  Out of desperation, he became a crowdsourced micro worker even though he knew he will earn fifty to one hundred times less than his old job.  Six months later,  he was overjoyed when he finally earned twenty dollars in a day for the first time.  This meant he could finally feed his family from his earnings instead of burning up his dwindling savings.",They had been friends for years. Their bond was unbreakable until it was. Several years of trust and love destroyed. She thought she had lost everything. It wasnt until she ran into an acquaintance of theirs that he had broken ties with as well. Together the two of them mended their hearts. The friendship that was made from that moment was what they both found to be a true friendship. Without the loss and pain they would have never put the time in to get to know eachother.,low,far,2
36,Money doesn't grow on trees,A person is working hard to save up to buy a home for his family. He is working many jobs and saving up as much as he can so that he can get a home. He realizes that there is a lot of work to be done to save up the money.,He knew the stress from his job was slowly killing him.  But he had to keep going until he could pay off the mortgage on their house.  It was his beloved wife's house of dreams despite its modest appearance.  She was unable to work so this was all she could aspire to.  He decided he would give his life to make this one dream come true for her.,"Once upon a time, an ambitious individual set a goal to accumulate enough funds. They diligently saved every penny, sacrificing luxuries and tirelessly working towards their dream. Finally, they were able to purchase their own house and raise their children easily in that house and don't make them go through all the hardship they once had to go through.",high,near,2
37,That which does not kill us makes us stronger,"When I remember the challenges I went through when I was starting my business, I break into tears. But I do not regret a thing. I think that the most precious gold goes through the hottest furnace. There are great and unforgettable lessons that I learned during that period that I will always cherish. It made me better.","i stained my cedar house this last summer in advance thinking about the consequences of not doing so. If I dont, the sun fades and cracks the wood, and could let drafts in.","Once upon a time, in a small village, there lived a talented young presenter named Lily. She was faced with countless challenges, from technical difficulties and stage fright to harsh criticism and rejection. However, with each obstacle she overcame, Lily grew stronger, honing her skills, building resilience, and gaining the respect and admiration of her audience. Ultimately, her unwavering determination and ability to thrive in the face of adversity transformed her into a renowned and influential figure, inspiring others to embrace their own inner strength.",low,near,2
38,Too many cooks spoil the broth,"Bob designed a well-organized project management spreadsheet and loaded it to SharePoint for the other project managers to take a look at. Jack changed the formulas in the costing section. Rachel redesigned the charts. Tom hid several columns. Charlie reformatted cells. When Bob looked at the spreadsheet again, it was unusable.","The woman worked as a teacher but took out loans to buy an expensive mansion and two fancy cars for herself. She bought designer clothing and fancy things. Eventually she went bankrupt because she couldn't afford the things she was buying on her teachers wage, which was only 40,000 a year.","Marsha was cooking dinner for the night.  She seasoned the food and left the room.  Her husband walked into the kitchen and saw the food on the stove.  He tasted it and added salt.  When Marsha walked back into the room, she remembered that she forgot to season the food, so she added salt.  The food was too salty and they had to order pizza that night.",low,far,2
